Planet Name,Global ESI,Long-term Stability,Atmospheric Retention,Habitability Index,Rank,Habitability_Category
HIP 109384 b,0.3739652625053624,0.9999126921620598,0.1123563766587734,0.5094277142330539,1310.0,Non-Habitable
Kepler-1280 b,0.408376183032224,1.0,0.0260198362181597,0.5093920587597439,1311.0,Non-Habitable
HD 75784 c,0.3305835435074977,0.9994239555723842,0.2212346593730413,0.5093658903000724,1312.0,Non-Habitable
K2-343 b,0.408709103951635,0.9999999999994386,0.0247975734954096,0.5093140666747311,1313.0,Non-Habitable
Kepler-407 c,0.2838675662146712,0.9998984059703794,0.3370489692785466,0.5093130987541588,1314.0,Non-Habitable
Kepler-1243 b,0.4084777894011473,1.0,0.0253478198857852,0.5093084586777307,1315.0,Non-Habitable
Kepler-16 b,0.3922927675793172,0.99999931800244,0.0657492989228654,0.5092960389749637,1316.0,Non-Habitable
Kepler-111 c,0.4009727272320756,1.0,0.0436579301104942,0.5092179496381367,1317.0,Non-Habitable
Kepler-26 d,0.4109731525970505,1.0,0.0185237346424307,0.5091913232270113,1318.0,Non-Habitable
Kepler-1381 b,0.4070333389405607,1.0,0.0279024221405718,0.5090971538983947,1319.0,Non-Habitable
HD 56957 b,0.3272620423505271,0.9997539795531996,0.2266851510676891,0.5088942452547612,1320.0,Non-Habitable
Kepler-58 d,0.4052455445556189,1.0,0.0308926741547326,0.5088013071087559,1321.0,Non-Habitable
GJ 3998 b,0.4082565380241109,1.0,0.0231183498350534,0.5087519389790661,1322.0,Non-Habitable
TOI-1695 b,0.4046894292783766,0.9999995436414376,0.0317883696257014,0.50870225165676,1323.0,Non-Habitable
Kepler-567 b,0.4061329838191806,1.0,0.0278968800462791,0.5086458679188461,1324.0,Non-Habitable
Kepler-1124 b,0.4082576136549594,1.0,0.0225240551900849,0.5086336178654968,1325.0,Non-Habitable
TOI-139 b,0.4056647737868586,0.9999999999973536,0.0288329720390575,0.5085989813004469,1326.0,Non-Habitable
K2-128 b,0.4078142292020927,0.9999981937257212,0.0233996464852438,0.5085865020158115,1327.0,Non-Habitable
Kepler-215 d,0.3950436073377395,1.0,0.0552958154380932,0.5085809667564885,1328.0,Non-Habitable
Kepler-898 b,0.407528557792497,1.0,0.0238652723668552,0.5085373333696196,1329.0,Non-Habitable
Kepler-1118 b,0.4049675977529028,1.0,0.030070282981789,0.5084978554728092,1330.0,Non-Habitable
Kepler-332 b,0.4085219033437731,1.0,0.0208435157537519,0.5084296548226369,1331.0,Non-Habitable
mu2 Sco b,0.2841582701906183,0.9809634397744962,0.3602212339300091,0.5084124138136599,1332.0,Non-Habitable
Kepler-68 d,0.3845283250082834,0.9999789869157306,0.0807497177266855,0.5084078021241979,1333.0,Non-Habitable
Kepler-1424 b,0.4085154482715568,1.0,0.0205554896187912,0.5083688220595367,1334.0,Non-Habitable
Kepler-191 b,0.4074843574922366,1.0,0.0229068058799409,0.5083235399221064,1335.0,Non-Habitable
Kepler-204 c,0.4064095341335186,1.0,0.0255703955829564,0.5083188461833505,1336.0,Non-Habitable
TOI-178 e,0.4070633618516953,0.9999999999976962,0.0232885585247034,0.5081893926300971,1337.0,Non-Habitable
Kepler-1510 b,0.4032791062948145,1.0,0.0324409318665789,0.5081277395207231,1338.0,Non-Habitable
Kepler-1088 b,0.4066592820520067,1.0,0.0233929086536975,0.5080082227567428,1339.0,Non-Habitable
GJ 1214 b,0.4037204014199794,0.9999998683579452,0.0304559171344274,0.5079513446442587,1340.0,Non-Habitable
BD-06 1339 c,0.3972381323482848,0.99998108881316,0.0465080538966207,0.5079150035974145,1341.0,Non-Habitable
Kepler-37 c,0.406586434542496,0.9999980701754386,0.0230431138361215,0.5079012610911039,1342.0,Non-Habitable
K2-68 b,0.4059260843609699,0.9999999999980193,0.0243695482194974,0.5078369518237902,1343.0,Non-Habitable
K2-28 b,0.4043642612237176,1.0,0.0282055750093625,0.5078232456137313,1344.0,Non-Habitable
HD 30856 b,0.3715551659080125,0.9999841740642572,0.1097584157189872,0.5077245183170809,1345.0,Non-Habitable
HD 20794 b,0.4058446289283749,1.0,0.0236005041299043,0.5076424152901683,1346.0,Non-Habitable
Kepler-49 b,0.4031128338385554,1.0,0.0302495692924176,0.5076063307777612,1347.0,Non-Habitable
Kepler-1062 b,0.4049247113318171,1.0,0.025394605824217,0.507541276830752,1348.0,Non-Habitable
HIP 113103 c,0.4035175825804631,0.9999975017459716,0.0285793619970278,0.5074739142134287,1349.0,Non-Habitable
Kepler-1794 b,0.4045716951366623,1.0,0.0255659781196372,0.5073990431922586,1350.0,Non-Habitable
Kepler-1486 b,0.4033874106976946,1.0,0.0281994794261977,0.5073336012340868,1351.0,Non-Habitable
Kepler-352 b,0.4090048734927698,1.0,0.0140011077847212,0.5073026583033292,1352.0,Non-Habitable
